0:	learn: 0.6092302	test: 0.6179980	best: 0.6179980 (0)	total: 49.8ms	remaining: 49.8s
10:	learn: 0.3133787	test: 0.3977627	best: 0.3977627 (10)	total: 64.8ms	remaining: 5.83s
20:	learn: 0.2594484	test: 0.3797270	best: 0.3797270 (20)	total: 79.7ms	remaining: 3.72s
30:	learn: 0.2284912	test: 0.3684202	best: 0.3684202 (30)	total: 95ms	remaining: 2.97s
40:	learn: 0.2060942	test: 0.3694642	best: 0.3684202 (30)	total: 108ms	remaining: 2.53s
50:	learn: 0.1849616	test: 0.3712819	best: 0.3684202 (30)	total: 121ms	remaining: 2.25s
60:	learn: 0.1744106	test: 0.3806191	best: 0.3684202 (30)	total: 132ms	remaining: 2.03s
70:	learn: 0.1547211	test: 0.3836483	best: 0.3684202 (30)	total: 144ms	remaining: 1.89s
80:	learn: 0.1371478	test: 0.3853218	best: 0.3684202 (30)	total: 157ms	remaining: 1.78s
90:	learn: 0.1283653	test: 0.3894853	best: 0.3684202 (30)	total: 170ms	remaining: 1.7s
100:	learn: 0.1146082	test: 0.4006010	best: 0.3684202 (30)	total: 187ms	remaining: 1.66s
110:	learn: 0.1049056	test: 0.3998652	best: 0.3684202 (30)	total: 199ms	remaining: 1.6s
120:	learn: 0.0944282	test: 0.4060157	best: 0.3684202 (30)	total: 217ms	remaining: 1.57s
130:	learn: 0.0869760	test: 0.4164143	best: 0.3684202 (30)	total: 232ms	remaining: 1.54s
140:	learn: 0.0797584	test: 0.4255409	best: 0.3684202 (30)	total: 246ms	remaining: 1.5s
150:	learn: 0.0745842	test: 0.4310068	best: 0.3684202 (30)	total: 262ms	remaining: 1.47s
160:	learn: 0.0710937	test: 0.4324238	best: 0.3684202 (30)	total: 278ms	remaining: 1.45s
170:	learn: 0.0656063	test: 0.4389051	best: 0.3684202 (30)	total: 293ms	remaining: 1.42s
180:	learn: 0.0605374	test: 0.4404762	best: 0.3684202 (30)	total: 312ms	remaining: 1.41s
190:	learn: 0.0579205	test: 0.4426776	best: 0.3684202 (30)	total: 330ms	remaining: 1.4s
200:	learn: 0.0553839	test: 0.4475122	best: 0.3684202 (30)	total: 344ms	remaining: 1.37s
210:	learn: 0.0523314	test: 0.4477724	best: 0.3684202 (30)	total: 363ms	remaining: 1.36s
220:	learn: 0.0499178	test: 0.4501038	best: 0.3684202 (30)	total: 382ms	remaining: 1.34s
230:	learn: 0.0467631	test: 0.4534999	best: 0.3684202 (30)	total: 402ms	remaining: 1.34s
240:	learn: 0.0432771	test: 0.4579090	best: 0.3684202 (30)	total: 419ms	remaining: 1.32s
250:	learn: 0.0410927	test: 0.4604550	best: 0.3684202 (30)	total: 433ms	remaining: 1.29s
260:	learn: 0.0391143	test: 0.4623553	best: 0.3684202 (30)	total: 449ms	remaining: 1.27s
270:	learn: 0.0371674	test: 0.4654390	best: 0.3684202 (30)	total: 467ms	remaining: 1.26s
280:	learn: 0.0354634	test: 0.4670411	best: 0.3684202 (30)	total: 481ms	remaining: 1.23s
290:	learn: 0.0339862	test: 0.4697648	best: 0.3684202 (30)	total: 497ms	remaining: 1.21s
300:	learn: 0.0319052	test: 0.4736918	best: 0.3684202 (30)	total: 510ms	remaining: 1.18s
310:	learn: 0.0301444	test: 0.4760560	best: 0.3684202 (30)	total: 524ms	remaining: 1.16s
320:	learn: 0.0293543	test: 0.4798915	best: 0.3684202 (30)	total: 536ms	remaining: 1.13s
330:	learn: 0.0275248	test: 0.4810703	best: 0.3684202 (30)	total: 552ms	remaining: 1.11s
340:	learn: 0.0264413	test: 0.4861661	best: 0.3684202 (30)	total: 568ms	remaining: 1.1s
350:	learn: 0.0254868	test: 0.4885927	best: 0.3684202 (30)	total: 583ms	remaining: 1.08s
360:	learn: 0.0244651	test: 0.4912969	best: 0.3684202 (30)	total: 600ms	remaining: 1.06s
370:	learn: 0.0235420	test: 0.4906700	best: 0.3684202 (30)	total: 615ms	remaining: 1.04s
380:	learn: 0.0222424	test: 0.4941962	best: 0.3684202 (30)	total: 629ms	remaining: 1.02s
390:	learn: 0.0214959	test: 0.4961333	best: 0.3684202 (30)	total: 649ms	remaining: 1.01s
400:	learn: 0.0211421	test: 0.4977066	best: 0.3684202 (30)	total: 663ms	remaining: 991ms
410:	learn: 0.0207034	test: 0.4990971	best: 0.3684202 (30)	total: 678ms	remaining: 971ms
420:	learn: 0.0201961	test: 0.5015234	best: 0.3684202 (30)	total: 694ms	remaining: 954ms
430:	learn: 0.0197344	test: 0.5054086	best: 0.3684202 (30)	total: 707ms	remaining: 933ms
440:	learn: 0.0192163	test: 0.5073655	best: 0.3684202 (30)	total: 721ms	remaining: 914ms
450:	learn: 0.0190345	test: 0.5072799	best: 0.3684202 (30)	total: 738ms	remaining: 898ms
460:	learn: 0.0183286	test: 0.5085726	best: 0.3684202 (30)	total: 750ms	remaining: 877ms
470:	learn: 0.0173397	test: 0.5158201	best: 0.3684202 (30)	total: 768ms	remaining: 862ms
480:	learn: 0.0169135	test: 0.5180664	best: 0.3684202 (30)	total: 783ms	remaining: 845ms
490:	learn: 0.0163002	test: 0.5232341	best: 0.3684202 (30)	total: 799ms	remaining: 829ms
500:	learn: 0.0156098	test: 0.5287303	best: 0.3684202 (30)	total: 815ms	remaining: 812ms
510:	learn: 0.0149539	test: 0.5327903	best: 0.3684202 (30)	total: 830ms	remaining: 794ms
520:	learn: 0.0145524	test: 0.5352403	best: 0.3684202 (30)	total: 849ms	remaining: 781ms
530:	learn: 0.0143569	test: 0.5347961	best: 0.3684202 (30)	total: 864ms	remaining: 763ms
540:	learn: 0.0140064	test: 0.5363829	best: 0.3684202 (30)	total: 880ms	remaining: 747ms
550:	learn: 0.0138048	test: 0.5379679	best: 0.3684202 (30)	total: 900ms	remaining: 733ms
560:	learn: 0.0136190	test: 0.5382279	best: 0.3684202 (30)	total: 913ms	remaining: 714ms
570:	learn: 0.0132840	test: 0.5398101	best: 0.3684202 (30)	total: 928ms	remaining: 697ms
580:	learn: 0.0130298	test: 0.5401604	best: 0.3684202 (30)	total: 945ms	remaining: 681ms
590:	learn: 0.0127852	test: 0.5434831	best: 0.3684202 (30)	total: 960ms	remaining: 665ms
600:	learn: 0.0123762	test: 0.5439721	best: 0.3684202 (30)	total: 977ms	remaining: 649ms
610:	learn: 0.0121077	test: 0.5438179	best: 0.3684202 (30)	total: 991ms	remaining: 631ms
620:	learn: 0.0120058	test: 0.5436076	best: 0.3684202 (30)	total: 1.01s	remaining: 614ms
630:	learn: 0.0118187	test: 0.5451933	best: 0.3684202 (30)	total: 1.02s	remaining: 597ms
640:	learn: 0.0116099	test: 0.5492307	best: 0.3684202 (30)	total: 1.03s	remaining: 579ms
650:	learn: 0.0112786	test: 0.5515630	best: 0.3684202 (30)	total: 1.05s	remaining: 562ms
660:	learn: 0.0111021	test: 0.5523855	best: 0.3684202 (30)	total: 1.06s	remaining: 544ms
670:	learn: 0.0109204	test: 0.5528727	best: 0.3684202 (30)	total: 1.07s	remaining: 526ms
680:	learn: 0.0106917	test: 0.5565309	best: 0.3684202 (30)	total: 1.09s	remaining: 509ms
690:	learn: 0.0104855	test: 0.5581319	best: 0.3684202 (30)	total: 1.1s	remaining: 493ms
