0:	learn: 0.3616287	test: 0.3618187	best: 0.3618187 (0)	total: 59.1ms	remaining: 59.1s
10:	learn: 0.0052660	test: 0.0052582	best: 0.0052582 (10)	total: 163ms	remaining: 14.7s
20:	learn: 0.0027624	test: 0.0027164	best: 0.0027164 (20)	total: 259ms	remaining: 12.1s
30:	learn: 0.0024105	test: 0.0024283	best: 0.0024283 (30)	total: 386ms	remaining: 12.1s
40:	learn: 0.0022000	test: 0.0023998	best: 0.0023998 (40)	total: 507ms	remaining: 11.8s
50:	learn: 0.0020762	test: 0.0023939	best: 0.0023939 (50)	total: 606ms	remaining: 11.3s
60:	learn: 0.0019656	test: 0.0023873	best: 0.0023873 (60)	total: 695ms	remaining: 10.7s
70:	learn: 0.0018568	test: 0.0023876	best: 0.0023873 (60)	total: 791ms	remaining: 10.3s
80:	learn: 0.0017758	test: 0.0023797	best: 0.0023797 (80)	total: 885ms	remaining: 10s
90:	learn: 0.0016752	test: 0.0023816	best: 0.0023797 (80)	total: 1.01s	remaining: 10.1s
100:	learn: 0.0016008	test: 0.0023795	best: 0.0023795 (100)	total: 1.12s	remaining: 9.98s
110:	learn: 0.0015228	test: 0.0023756	best: 0.0023756 (110)	total: 1.22s	remaining: 9.79s
120:	learn: 0.0014662	test: 0.0023840	best: 0.0023756 (110)	total: 1.36s	remaining: 9.88s
130:	learn: 0.0014149	test: 0.0023797	best: 0.0023756 (110)	total: 1.46s	remaining: 9.67s
140:	learn: 0.0013559	test: 0.0023726	best: 0.0023726 (140)	total: 1.57s	remaining: 9.54s
150:	learn: 0.0012954	test: 0.0023510	best: 0.0023510 (150)	total: 1.68s	remaining: 9.45s
160:	learn: 0.0012563	test: 0.0023501	best: 0.0023501 (160)	total: 1.77s	remaining: 9.24s
170:	learn: 0.0012120	test: 0.0023428	best: 0.0023428 (170)	total: 1.86s	remaining: 9.04s
180:	learn: 0.0011691	test: 0.0023156	best: 0.0023156 (180)	total: 1.96s	remaining: 8.85s
190:	learn: 0.0011225	test: 0.0023081	best: 0.0023081 (190)	total: 2.04s	remaining: 8.62s
200:	learn: 0.0010833	test: 0.0023017	best: 0.0023017 (200)	total: 2.13s	remaining: 8.47s
210:	learn: 0.0010529	test: 0.0022910	best: 0.0022910 (210)	total: 2.22s	remaining: 8.3s
220:	learn: 0.0010180	test: 0.0022897	best: 0.0022897 (220)	total: 2.31s	remaining: 8.13s
230:	learn: 0.0010043	test: 0.0022916	best: 0.0022897 (220)	total: 2.42s	remaining: 8.04s
240:	learn: 0.0009727	test: 0.0022958	best: 0.0022897 (220)	total: 2.57s	remaining: 8.09s
250:	learn: 0.0009277	test: 0.0022931	best: 0.0022897 (220)	total: 2.69s	remaining: 8.01s
260:	learn: 0.0009089	test: 0.0022921	best: 0.0022897 (220)	total: 2.8s	remaining: 7.94s
270:	learn: 0.0008870	test: 0.0023011	best: 0.0022897 (220)	total: 2.93s	remaining: 7.89s
280:	learn: 0.0008673	test: 0.0022934	best: 0.0022897 (220)	total: 3.09s	remaining: 7.91s
290:	learn: 0.0008405	test: 0.0022876	best: 0.0022876 (290)	total: 3.23s	remaining: 7.87s
300:	learn: 0.0008132	test: 0.0022907	best: 0.0022876 (290)	total: 3.36s	remaining: 7.8s
310:	learn: 0.0007897	test: 0.0022923	best: 0.0022876 (290)	total: 3.49s	remaining: 7.73s
320:	learn: 0.0007652	test: 0.0022838	best: 0.0022838 (320)	total: 3.6s	remaining: 7.61s
330:	learn: 0.0007464	test: 0.0022866	best: 0.0022838 (320)	total: 3.72s	remaining: 7.52s
340:	learn: 0.0007236	test: 0.0022925	best: 0.0022838 (320)	total: 3.89s	remaining: 7.52s
350:	learn: 0.0006971	test: 0.0022908	best: 0.0022838 (320)	total: 4.03s	remaining: 7.46s
360:	learn: 0.0006752	test: 0.0022910	best: 0.0022838 (320)	total: 4.19s	remaining: 7.42s
370:	learn: 0.0006549	test: 0.0022809	best: 0.0022809 (370)	total: 4.34s	remaining: 7.36s
380:	learn: 0.0006298	test: 0.0022830	best: 0.0022809 (370)	total: 4.47s	remaining: 7.26s
390:	learn: 0.0006035	test: 0.0022852	best: 0.0022809 (370)	total: 4.61s	remaining: 7.18s
400:	learn: 0.0005821	test: 0.0022920	best: 0.0022809 (370)	total: 4.71s	remaining: 7.04s
410:	learn: 0.0005619	test: 0.0023058	best: 0.0022809 (370)	total: 4.82s	remaining: 6.9s
420:	learn: 0.0005424	test: 0.0023075	best: 0.0022809 (370)	total: 4.92s	remaining: 6.76s
430:	learn: 0.0005263	test: 0.0023157	best: 0.0022809 (370)	total: 5.02s	remaining: 6.63s
440:	learn: 0.0005097	test: 0.0023067	best: 0.0022809 (370)	total: 5.13s	remaining: 6.5s
450:	learn: 0.0004964	test: 0.0023176	best: 0.0022809 (370)	total: 5.23s	remaining: 6.37s
460:	learn: 0.0004828	test: 0.0023197	best: 0.0022809 (370)	total: 5.33s	remaining: 6.23s
470:	learn: 0.0004699	test: 0.0023310	best: 0.0022809 (370)	total: 5.43s	remaining: 6.1s
480:	learn: 0.0004497	test: 0.0023369	best: 0.0022809 (370)	total: 5.51s	remaining: 5.95s
490:	learn: 0.0004364	test: 0.0023367	best: 0.0022809 (370)	total: 5.61s	remaining: 5.81s
500:	learn: 0.0004204	test: 0.0023326	best: 0.0022809 (370)	total: 5.74s	remaining: 5.72s
510:	learn: 0.0004051	test: 0.0023379	best: 0.0022809 (370)	total: 5.83s	remaining: 5.58s
520:	learn: 0.0003923	test: 0.0023498	best: 0.0022809 (370)	total: 5.93s	remaining: 5.46s
530:	learn: 0.0003826	test: 0.0023486	best: 0.0022809 (370)	total: 6s	remaining: 5.3s
540:	learn: 0.0003684	test: 0.0023546	best: 0.0022809 (370)	total: 6.07s	remaining: 5.15s
550:	learn: 0.0003522	test: 0.0023526	best: 0.0022809 (370)	total: 6.13s	remaining: 5s
