0:	learn: 0.6580631	test: 0.6661429	best: 0.6661429 (0)	total: 59.5ms	remaining: 59.4s
10:	learn: 0.5126479	test: 0.5582129	best: 0.5582129 (10)	total: 127ms	remaining: 11.4s
20:	learn: 0.4420471	test: 0.5284811	best: 0.5284811 (20)	total: 171ms	remaining: 7.96s
30:	learn: 0.4038675	test: 0.5209482	best: 0.5209482 (30)	total: 188ms	remaining: 5.86s
40:	learn: 0.3721957	test: 0.5125225	best: 0.5125225 (40)	total: 205ms	remaining: 4.79s
50:	learn: 0.3440881	test: 0.5089750	best: 0.5089750 (50)	total: 224ms	remaining: 4.16s
60:	learn: 0.3267769	test: 0.5089512	best: 0.5089512 (60)	total: 243ms	remaining: 3.73s
70:	learn: 0.3060053	test: 0.5071335	best: 0.5071335 (70)	total: 260ms	remaining: 3.4s
80:	learn: 0.2928067	test: 0.5072532	best: 0.5071335 (70)	total: 276ms	remaining: 3.13s
90:	learn: 0.2708302	test: 0.5104267	best: 0.5071335 (70)	total: 294ms	remaining: 2.94s
100:	learn: 0.2548718	test: 0.5109608	best: 0.5071335 (70)	total: 313ms	remaining: 2.79s
110:	learn: 0.2411368	test: 0.5136907	best: 0.5071335 (70)	total: 333ms	remaining: 2.67s
120:	learn: 0.2267959	test: 0.5187562	best: 0.5071335 (70)	total: 351ms	remaining: 2.55s
130:	learn: 0.2152021	test: 0.5200231	best: 0.5071335 (70)	total: 369ms	remaining: 2.45s
140:	learn: 0.2068846	test: 0.5265717	best: 0.5071335 (70)	total: 388ms	remaining: 2.36s
150:	learn: 0.1933533	test: 0.5266207	best: 0.5071335 (70)	total: 407ms	remaining: 2.29s
160:	learn: 0.1839823	test: 0.5284796	best: 0.5071335 (70)	total: 428ms	remaining: 2.23s
170:	learn: 0.1760577	test: 0.5291301	best: 0.5071335 (70)	total: 447ms	remaining: 2.17s
180:	learn: 0.1665711	test: 0.5341234	best: 0.5071335 (70)	total: 468ms	remaining: 2.12s
190:	learn: 0.1555514	test: 0.5416951	best: 0.5071335 (70)	total: 486ms	remaining: 2.06s
200:	learn: 0.1498832	test: 0.5419362	best: 0.5071335 (70)	total: 508ms	remaining: 2.02s
210:	learn: 0.1426079	test: 0.5481443	best: 0.5071335 (70)	total: 525ms	remaining: 1.96s
220:	learn: 0.1361406	test: 0.5534903	best: 0.5071335 (70)	total: 544ms	remaining: 1.92s
230:	learn: 0.1289069	test: 0.5564974	best: 0.5071335 (70)	total: 562ms	remaining: 1.87s
240:	learn: 0.1235865	test: 0.5606684	best: 0.5071335 (70)	total: 580ms	remaining: 1.83s
250:	learn: 0.1165213	test: 0.5617481	best: 0.5071335 (70)	total: 598ms	remaining: 1.78s
260:	learn: 0.1105762	test: 0.5647722	best: 0.5071335 (70)	total: 617ms	remaining: 1.75s
270:	learn: 0.1042029	test: 0.5678605	best: 0.5071335 (70)	total: 634ms	remaining: 1.71s
280:	learn: 0.0992458	test: 0.5726136	best: 0.5071335 (70)	total: 652ms	remaining: 1.67s
290:	learn: 0.0955347	test: 0.5720118	best: 0.5071335 (70)	total: 670ms	remaining: 1.63s
300:	learn: 0.0920782	test: 0.5757766	best: 0.5071335 (70)	total: 692ms	remaining: 1.61s
310:	learn: 0.0889912	test: 0.5796554	best: 0.5071335 (70)	total: 711ms	remaining: 1.57s
320:	learn: 0.0850779	test: 0.5792991	best: 0.5071335 (70)	total: 733ms	remaining: 1.55s
330:	learn: 0.0811580	test: 0.5799492	best: 0.5071335 (70)	total: 750ms	remaining: 1.52s
340:	learn: 0.0784542	test: 0.5824382	best: 0.5071335 (70)	total: 768ms	remaining: 1.48s
350:	learn: 0.0756250	test: 0.5882347	best: 0.5071335 (70)	total: 787ms	remaining: 1.45s
360:	learn: 0.0735449	test: 0.5929643	best: 0.5071335 (70)	total: 805ms	remaining: 1.42s
370:	learn: 0.0718131	test: 0.5930113	best: 0.5071335 (70)	total: 827ms	remaining: 1.4s
380:	learn: 0.0689612	test: 0.5921511	best: 0.5071335 (70)	total: 846ms	remaining: 1.37s
390:	learn: 0.0667997	test: 0.5919994	best: 0.5071335 (70)	total: 864ms	remaining: 1.35s
400:	learn: 0.0649854	test: 0.5913854	best: 0.5071335 (70)	total: 885ms	remaining: 1.32s
